name,username,password,role,department,semester,section,email
Student_1A,2025001,12345,student,IT,1,IT-1,student1a@college.edu
Student_1B,2025002,12345,student,IT,1,IT-1,student1b@college.edu
Student_1C,2025003,12345,student,IT,1,IT-1,student1c@college.edu
Student_1D,2025004,12345,student,IT,1,IT-1,student1d@college.edu
Student_1E,2025005,12345,student,IT,1,IT-1,student1e@college.edu
Student_1F,2025006,12345,student,IT,1,IT-1,student1f@college.edu
Student_1G,2025007,12345,student,IT,1,IT-1,student1g@college.edu
Student_1H,2025008,12345,student,IT,1,IT-1,student1h@college.edu
Student_1I,2025009,12345,student,IT,1,IT-1,student1i@college.edu
Student_1J,2025010,12345,student,IT,1,IT-1,student1j@college.edu
Student_2A,2025011,12345,student,IT,1,IT-2,student2a@college.edu
Student_2B,2025012,12345,student,IT,1,IT-2,student2b@college.edu
Student_2C,2025013,12345,student,IT,1,IT-2,student2c@college.edu
Student_2D,2025014,12345,student,IT,1,IT-2,student2d@college.edu
Student_2E,2025015,12345,student,IT,1,IT-2,student2e@college.edu
Student_2F,2025016,12345,student,IT,1,IT-2,student2f@college.edu
Student_2G,2025017,12345,student,IT,1,IT-2,student2g@college.edu
Student_2H,2025018,12345,student,IT,1,IT-2,student2h@college.edu
Student_2I,2025019,12345,student,IT,1,IT-2,student2i@college.edu
Student_2J,2025020,12345,student,IT,1,IT-2,student2j@college.edu
Student_3A,2025021,12345,student,IT,1,IT-3,student3a@college.edu
Student_3B,2025022,12345,student,IT,1,IT-3,student3b@college.edu
Student_3C,2025023,12345,student,IT,1,IT-3,student3c@college.edu
Student_3D,2025024,12345,student,IT,1,IT-3,student3d@college.edu
Student_3E,2025025,12345,student,IT,1,IT-3,student3e@college.edu
Student_3F,2025026,12345,student,IT,1,IT-3,student3f@college.edu
Student_3G,2025027,12345,student,IT,1,IT-3,student3g@college.edu
Student_3H,2025028,12345,student,IT,1,IT-3,student3h@college.edu
Student_3I,2025029,12345,student,IT,1,IT-3,student3i@college.edu
Student_3J,2025030,12345,student,IT,1,IT-3,student3j@college.edu
Student_4A,2024001,12345,student,IT,3,IT-1,student4a@college.edu
Student_4B,2024002,12345,student,IT,3,IT-1,student4b@college.edu
Student_4C,2024003,12345,student,IT,3,IT-1,student4c@college.edu
Student_4D,2024004,12345,student,IT,3,IT-1,student4d@college.edu
Student_4E,2024005,12345,student,IT,3,IT-1,student4e@college.edu
Student_4F,2024006,12345,student,IT,3,IT-1,student4f@college.edu
Student_4G,2024007,12345,student,IT,3,IT-1,student4g@college.edu
Student_4H,2024008,12345,student,IT,3,IT-1,student4h@college.edu
Student_4I,2024009,12345,student,IT,3,IT-1,student4i@college.edu
Student_4J,2024010,12345,student,IT,3,IT-1,student4j@college.edu
Student_5A,2024011,12345,student,IT,3,IT-2,student5a@college.edu
Student_5B,2024012,12345,student,IT,3,IT-2,student5b@college.edu
Student_5C,2024013,12345,student,IT,3,IT-2,student5c@college.edu
Student_5D,2024014,12345,student,IT,3,IT-2,student5d@college.edu
Student_5E,2024015,12345,student,IT,3,IT-2,student5e@college.edu
Student_5F,2024016,12345,student,IT,3,IT-2,student5f@college.edu
Student_5G,2024017,12345,student,IT,3,IT-2,student5g@college.edu
Student_5H,2024018,12345,student,IT,3,IT-2,student5h@college.edu
Student_5I,2024019,12345,student,IT,3,IT-2,student5i@college.edu
Student_5J,2024020,12345,student,IT,3,IT-2,student5j@college.edu
Student_6A,2024021,12345,student,IT,3,IT-3,student6a@college.edu
Student_6B,2024022,12345,student,IT,3,IT-3,student6b@college.edu
Student_6C,2024023,12345,student,IT,3,IT-3,student6c@college.edu
Student_6D,2024024,12345,student,IT,3,IT-3,student6d@college.edu
Student_6E,2024025,12345,student,IT,3,IT-3,student6e@college.edu
Student_6F,2024026,12345,student,IT,3,IT-3,student6f@college.edu
Student_6G,2024027,12345,student,IT,3,IT-3,student6g@college.edu
Student_6H,2024028,12345,student,IT,3,IT-3,student6h@college.edu
Student_6I,2024029,12345,student,IT,3,IT-3,student6i@college.edu
